ID_MUSEO,NOMBRE_MUSEO,ID_LOCALITIES,DESCRIPCION,ID_COUNTRY,STATE
1,Casa Museo Francisco José de Caldas,23,"Entrar a esta casona de dos plantas es sumergirse en parte del gran legado que dejó a la historia colombiana el Sabio Caldas. En el primer nivel se pueden observar objetos personales además de la copia de una colección de la Expedición Botánica, informes de especialistas en el tema como José Celestino Mutis, Barón Von Humbult y Francisco Antonio Zea. En el segundo piso, la sala de ingeniería da la bienvenida con importantes elementos de medición y cálculo de su época como el teodolito y el telémetro. El recorrido culmina con la visita a la sala Caldas, donde puede apreciar un busto del Sabio elaborado en 1882, armas de las tropas británicas y diferentes láminas que siguen la cronología de la vida de este científico que fue también prócer de la Independencia del país.",115,TRUE
2,Casa Museo Grau,23,"Entrar a esta casa museo es adentrarse en la vida y obra del maestro Enrique Grau y en el legado del pintor cartagenero reconocido a nivel nacional e internacional. Ubicada en el barrio Chicó de Bogotá, la casa de dos plantas alberga una amplia colección de sus cuadros y esculturas, además de exposiciones temporales de destacados artistas. En el primer nivel destaca el salón con obras emblemáticas del maestro, junto con espacios reservados para seminarios, proyecciones y eventos culturales que fomentan el talento artístico. En el segundo piso, se encuentran áreas íntimas y una biblioteca que conserva manuscritos, fotografías y material documental que permiten entender la trayectoria de Grau, así como la exhibición de obras que el artista compartió con otros creadores. El recorrido finaliza en la galería, donde se aprecia la influencia y la evolución del arte moderno en Colombia contemporánea.",115,FALSE
3,Casa Museo Jorge Eliécer Gaitán ,23,"Esta casona de dos pisos representa un homenaje a la vida del líder político Jorge Eliécer Gaitán, símbolo del pensamiento popular y la lucha social en Colombia. En el primer piso se exhiben objetos personales, documentos, fotografías y manuscritos que reflejan su carrera política, desde su juventud hasta el momento de su trágico asesinato, mostrando además artículos periodísticos y testimonios de la época. El segundo nivel está dedicado a su trayectoria intelectual, con libros, discursos y elementos audiovisuales que reconstruyen sus ideales, debates y sus propuestas de reforma social. El recorrido concluye con salas de memoria donde se visualizan sus contribuciones al país y se exponen testimonios de seguidores y detractores que dibujan el impacto de su legado histórico.",115,FALSE
4,Casa Museo Quinta de Bolívar,23,"Conserva la apariencia original de la época en que fue habitada por Simón Bolívar. Cuenta con piezas destacadas como la casaca de granaderos, el autorretrato de José María Espinoza y el reloj de los Horacios, inspirado en la obra pictórica El juramento de los Horacios del artista Jacques-Louis David. Recorre lugares como el salón donde el Libertador escribió al congreso de Ocaña y realizó importantes reuniones políticas. El área de comunicación organiza eventos pedagógicos para que el público conozca y disfrute cada una de sus colecciones de forma dinámica. ",115,TRUE
5,Casa Museo Ricardo Gómez Campuzano,23,"Visitar esta casa museo es sumergirse en el universo artístico del pintor neoclásico Ricardo Gómez Campuzano. La casa, preservada con mobiliario de época, presenta en el primer nivel una selección de sus obras más sobresalientes, acompañadas de bocetos, cartas y utensilios utilizados en su proceso creativo. En la planta superior se organizan talleres y exposiciones temporales que resaltan su influencia en el arte colombiano, mostrando además elementos personales como vestimenta y objetos cotidianos que humanizan la figura del artista. El recorrido culmina en una sala dedicada a su legado donde se aprecia un busto del artista, documentos conmemorativos y una cronología visual de su vida y obra.",115,FALSE
6,Colección Instrumentos Musicales Jose Ignacio,23,"Este museo ofrece un recorrido sonoro y visual por la evolución de los instrumentos musicales en Colombia y en el mundo. En el primer nivel se encuentran exhibidos instrumentos antiguos y contemporáneos, desde cuerdas hasta vientos, junto a carteles explicativos y partituras que resumen sus usos y particularidades sonoras. En la planta alta, la sala tecnológica permite a los visitantes interactuar con réplicas y sonidos digitalizados, además de talleres didácticos y presentaciones en vivo. El cierre del recorrido permite apreciar piezas icónicas pertenecientes a José Ignacio, relacionadas con la música folclórica y la riqueza cultural colombiana, integrando una visión completa del patrimonio musical.",115,FALSE
7,Casa de Nariño,23,"También conocida como Palacio de Nariño, esta edificación de estilo grecorromano es la residencia oficial del presidente de Colombia. Fundada el 20 de julio de 1908, fue construida en los predios de la casa natal de Antonio Nariño, líder de la independencia de Colombia, de quien se preserva una estatua fundida en bronce. En sus jardines se encuentra además el primer Observatorio Astronómico de América.",115,TRUE
8,Maloka Ciencia Y Tecnología Interactiva,23,"Los fenómenos físicos de la naturaleza se vuelven objeto de diversión y aprendizaje gracias a diferentes atracciones interactivas en este, el centro pedagógico y lúdico más importante de Bogotá. En sus distintas salas se explica cómo ocurren los terremotos, el impacto de los rayos de luz en el planeta, la evolución del hombre y otros misterios comunes de nuestra naturaleza. También cuenta con salas interactivas donde se ofrece a los pequeños visitantes la oportunidad de ser paleontólogos por un día y aprender sobre dinosaurios y otras formas de vida fosilizadas. Visite la sala de Monstruos Marinos; sea espectador de las funciones del Cine Digital 3D y conozca la última atracción del recinto: la sala Vida 360, donde a través de una función guiada se explica cómo empezó la vida, qué lugar ocupamos en el universo o qué edad tiene la tierra.",115,TRUE
9,Museo Arqueológico Casa del Marqués de San Jorge,23,"Al ingresar a esta edificación histórica de dos pisos, se revive el esplendor colonial y la riqueza arqueológica de la región. El primer nivel exhibe objetos precolombinos como cerámicas, herramientas y joyas encontradas en excavaciones cercanas, junto con textos explicativos y réplicas de piezas emblemáticas. El segundo piso está dedicado a la historia del Marquesado y su relación con la arqueología local, mostrando documentos y mapas antiguos que conectan la arquitectura colonial con la preservación de la cultura ancestral. La visita culmina en una sala donde se exponen colecciones temporales y un busto del Marqués, símbolo del patrocinio cultural en el país.",115,FALSE
10,Museo de Bogotá,23,"Entrar en este museo es descubrir la historia multifacética de la capital colombiana a través de sus diferentes periodos. El primer piso ofrece exposiciones permanentes con objetos, fotografías y documentos que relatan la fundación, evolución y eventos clave de Bogotá. En el segundo nivel, los visitantes encuentran espacios interactivos y temporales con muestras de arte, cultura y tradición popular que reflejan la diversidad urbana. El recorrido concluye con una sala audiovisual donde se proyectan testimonios y documentales que enfatizan el papel de la ciudad en la identidad nacional.",115,FALSE
11,Museo Botero,23,"El maestro Fernando Botero nos dejó un legado invaluable y sus tesoros más preciados en este museo. En el año 2000 donó una colección de más de doscientas obras propias y de artistas internacionales, con las cuales nos demostró que se puede combatir la guerra a través del arte y plasmar sus ideas a través de la escultura y la pintura. Su esencia se distingue por el uso del volumen, la creatividad y la sensualidad para representar aspectos cotidianos o álgidos del momento.",115,TRUE
12,Museo Casa de la Moneda,23,"En época de la Corona, se acuñaban las monedas de oro, plata y bronce para el rey Felipe III de España en esta pequeña casa de Santafé de Bogotá. A partir de 1961, el Banco de la República habilitó el museo Numismático, donde exhibió por primera vez su amplia colección de monedas, billetes, troqueles, planchas impresoras y cajas fuertes que procedían desde la Colonia. Este museo narra la historia económica del país a través de piezas arquitectónicas, artísticas y documentales.",115,TRUE
13,Museo Caro y Cuervo,23,"Este museo-especializado se presenta en una casa de dos plantas donde se honra la investigación lingüística y literaria colombiana. En el primer piso se exhiben manuscritos originales, primeras ediciones y correspondencia de destacados escritores y lingüistas asociados a la Institución Caro y Cuervo. En la planta alta, la sala tecnológica y de archivo guarda instrumentos y herramientas de investigación histórica y lingüística, acompañada de una biblioteca que resguarda documentación valiosa. El recorrido termina con un espacio de homenaje a la filología y la cultura, con bustos y placas conmemorativas que narran su contribución académica.",115,FALSE
14,Museo Claustro de San Agustín UNAL,23,"Es una construcción del siglo XVII y aunque inicialmente fue convento, iglesia y reclusorio, ahora se conserva como la sede del Centro Cultural del Banco de la República, del Archivo Regional de Boyacá y de la Biblioteca Alfonso Patiño Rosselli. Aún se encuentra en proceso de restauración, especialmente su pintura mural barroca, las celdas y la escalera. Su recorrido principal hace referencia a su época carcelaria y panóptica. Su arquitectura y pintura agustiniana estaban en busca de la perfección humana. ",115,TRUE
15,Museo Colonial,23,"Esta casona de dos niveles conserva y exhibe objetos, mobiliario y obras de arte que reflejan la época colonial en Colombia. En el primer piso se pueden observar piezas arqueológicas, instrumentos, vestimenta y utensilios domésticos de la época, en ambientes adornados con decoración típica. El segundo piso está dedicado a exhibiciones temáticas relacionadas con la vida cotidiana, espiritual y administrativa de la colonia, con textos y mapas detallados que contextualizan el patrimonio expuesto. La visita termina en una sala con grabados, armas y documentos oficiales que reflejan el poder colonial.",115,FALSE
16,Museo de Arquitectura Leopoldo Rother,23,"Entrar al Museo de Arquitectura Leopoldo Rother es sumergirse en la historia viva de la arquitectura moderna colombiana. Ubicado en el edificio de la antigua Imprenta de la Universidad Nacional, diseñado en 1948 por Leopoldo Rother, uno de los arquitectos más influyentes del país, este museo es el único especializado en arquitectura en Colombia. En su interior, distribuidas en cinco salas, se exhiben planos, maquetas, documentos y dibujos que revelan la evolución arquitectónica nacional e internacional, además de la obra de Rother. El recorrido invita a descubrir su legado y promueve la reflexión crítica sobre la disciplina, culminando con la apreciación del edificio declarado Bien de Interés Cultural.",115,FALSE
